MinTemp,MaxTemp,WindDir,RelHumid,BarPres,Rain
7.1,15.5,SW,80,1010,<20
8.1,16.6,SW,85,1035,<20
7.1,19.3,SSW,70,1024,<20
11.6,15.9,SSE,93,1041,<20
12.2,19.8,SSE,94,1032,<20
7.9,13.5,SW,96,1012,<20
9.9,15.5,SW,74,1018,<20
7.1,18.7,SSW,60,1026,<20
10.2,18.6,SSE,99,1028,<20
11.2,18.7,SSE,81,1044,<20
7.3,15.1,SW,84,1002,<20
9.5,13.9,SW,85,1029,<20
6.7,21.3,SSW,70,1027,<20
12,15.7,SSE,97,1043,<20
12.1,20.4,SSE,80,1035,<20
5.5,15,SW,94,1004,<20
7.3,14.3,SW,89,1017,<20
5.8,19.8,SSW,75,1021,<20
11.3,17,SSE,99,1025,<20
11.3,16.9,SSE,95,1036,<20
9,13.1,SW,94,1016,<20
10.6,14.2,SW,81,1019,<20
7,19.5,SSW,67,1022,<20
11.4,18.6,SSE,97,1026,<20
9.9,16.8,SSE,86,1039,<20
8.8,12.9,SW,96,1008,<20
9.5,15.8,SW,81,1024,<20
7.9,17.6,SSW,76,1036,<20
12.4,17.1,SSE,94,1036,<20
11.1,17.2,SSE,95,1039,<20
5.9,14.4,SW,87,1014,<20
10.7,14,SW,91,1021,<20
8.1,19.1,SSW,61,1027,<20
12.4,15.1,SSE,97,1035,<20
11.5,20.7,SSE,90,1034,<20
7.2,13,SW,91,1020,<20
7.5,13.6,SW,90,1016,<20
8,18,SSW,76,1037,<20
12.1,18.3,SSE,91,1041,<20
12,20.1,SSE,99,1030,<20
9.1,13.9,SW,88,1005,<20
7.4,15.9,SW,75,1019,<20
9.5,18.8,SSW,63,1032,<20
10.4,18.9,SSE,97,1024,<20
12.9,19.3,SSE,87,1035,<20
8.3,13.6,SW,81,1011,<20
10.3,14.2,SW,76,1033,<20
7.3,21.1,SSW,60,1023,<20
9.6,16.5,SSE,89,1025,<20
10.4,19.5,SSE,85,1038,<20
6.5,15.5,SW,92,1019,<20
8.3,13.4,SW,86,1035,<20
9,21.1,SSW,79,1025,<20
12.4,16.5,SSE,94,1030,<20
12.3,19.2,SSE,89,1040,<20
6,13.5,SW,94,1015,<20
8.1,16.1,SW,77,1027,<20
6,20.4,SSW,79,1031,<20
11.4,17.9,ESE,89,1042,<5
9.7,18.4,E,97,1028,<5
11.7,21.5,NW,93,1035,<5
8,13.7,W,79,1026,<5
11.6,16.7,W,84,1038,<5
11.1,15.3,SW,76,1013,<5
9.7,17,S,59,1030,<5
5.1,15.9,SSW,65,1036,<5
11.6,19.7,WNW,85,1028,<5
10.9,21.5,NNE,88,1039,<5
11.2,17.7,ESE,91,1040,<5
12.3,17.1,E,96,1033,<5
9.6,20.6,NW,76,1032,<5
7.8,15,W,84,1028,<5
10.3,13.4,W,91,1022,<5
10.9,17.1,SW,80,1026,<5
10.6,16,S,56,1011,<5
9,18.8,SSW,65,1029,<5
11.4,21.6,WNW,100,1034,<5
12.1,20.4,NNE,86,1027,<5
11.4,20,ESE,83,1041,<5
9.7,17.9,E,83,1046,<5
12.3,22.4,NW,75,1030,<5
10.8,14.6,W,71,1031,<5
9.2,13.7,W,98,1042,<5
11.8,14.8,SW,94,1012,<5
9.9,17.3,S,50,1030,<5
8.7,17.7,SSW,76,1035,<5
10.2,19.1,WNW,94,1028,<5
10,22,NNE,80,1026,<5
9.6,16.9,ESE,91,1034,<5
12.5,17.2,E,90,1034,<5
12.2,21.1,NW,92,1026,<5
10.4,15.7,W,65,1029,<5
12.9,14.1,W,83,1038,<5
9.7,13.7,SW,92,1020,<5
9.9,17.9,S,49,1031,<5
7,15.5,SSW,73,1020,<5
11.3,19,WNW,91,1044,<5
11.7,21.1,NNE,79,1034,<5
10.9,19.5,ESE,93,1026,<5
10.9,18.3,E,82,1034,<5
10.6,20.1,NW,82,1031,<5
10.8,13.8,W,65,1039,<5
11.4,13.3,W,92,1039,<5
11.8,13.8,SW,90,1019,<5
9.7,16.1,S,48,1011,<5
9,15.7,SSW,76,1027,<5
8.6,18.5,WNW,91,1044,<5
13.3,18.9,NNE,86,1028,<5
8,16.1,ESE,91,1041,<5
12,17.4,E,88,1035,<5
10,20.6,NW,74,1035,<5
8.1,16.3,W,76,1045,<5
11.2,14.7,W,87,1022,<5
10.6,15.1,SW,79,1029,<5
11,16.5,S,64,1024,<5
6.8,16.7,SSW,67,1035,<5
10.8,21.7,WNW,96,1039,<5
11.8,20,NNE,92,1039,<5
7.9,17.4,ESE,94,1044,<5
11.3,17,E,91,1034,<5
11.6,22.8,NW,85,1020,<5
9.9,14.9,W,73,1037,<5
9.6,15.4,W,84,1036,<5
11.3,15.8,SW,82,1027,<5
9.9,16.8,S,52,1011,<5
7.5,14.9,SSW,80,1017,<5
12.1,19.9,WNW,90,1038,<5
9.8,21.4,NNE,83,1035,<5
8.3,16.9,ESE,96,1031,<5
11.2,16.8,E,86,1030,<5
13.5,19.3,NW,92,1016,<5
7.5,15.7,W,82,1027,<5
9.4,15.1,W,95,1037,<5
9.6,17.1,SW,88,1029,<5
9.2,17.5,S,59,1024,<5
6.5,16.6,SSW,75,1037,<5
8.9,19.3,WNW,80,1040,<5
12.5,18.5,NNE,92,1039,<5
11,17.9,ESE,91,1024,<5
12.6,16.7,E,81,1034,<5
12.9,21.9,NW,80,1023,<5
10.7,16.2,W,65,1027,<5
10.1,13.6,W,85,1029,<5
11.3,14.1,SW,91,1016,<5
10.2,18.3,S,49,1020,<5
5.6,15.1,SSW,82,1017,<5
12.2,19.5,WNW,89,1039,<5
11.9,21.2,NNE,97,1026,<5
9.5,16.3,ESE,82,1029,<5
12.6,16.8,E,93,1034,<5
10.5,22.5,NW,85,1031,<5
10,16.4,W,76,1028,<5
12.8,14.8,W,102,1026,<5
12.8,13.7,SW,83,1025,<5
9.2,16.8,S,60,1022,<5
9.1,17.8,SSW,66,1020,<5
11.8,21,WNW,93,1029,<5
11.4,18.8,NNE,80,1034,<5
11.5,19.7,ESE,87,1043,<5
9.6,19.1,E,89,1028,<5
13.5,22.4,NW,76,1031,<5
9.8,13.9,W,70,1039,<5
9.5,16.1,W,91,1022,<5
12.8,14,SW,93,1028,<5
8.5,16.8,S,62,1021,<5
8,16.5,SSW,83,1036,<5
10.3,21.2,WNW,94,1034,<5
12,18.7,NNE,82,1030,<5
11.1,17.5,ESE,87,1024,<5
12.9,17.1,E,99,1046,<5
11.3,19.3,NW,90,1027,<5
9.6,16.4,W,77,1027,<5
12.4,13.6,W,82,1027,<5
14.2,17.6,SE,79,1035,>20
10.1,15.2,W,95,1028,>20
13.1,19.4,WSW,76,1011,>20
7.5,16.3,SSE,82,1039,>20
12.3,18.2,SE,77,1026,>20
13.1,15.7,W,95,1031,>20
11.2,18.6,WSW,88,1016,>20
7.6,17.8,SSE,98,1032,>20
15.1,20.9,SE,87,1036,>20
11.9,16.2,W,81,1011,>20
10.7,20.7,WSW,92,1010,>20
8.2,17.1,SSE,92,1030,>20
11.5,19,SE,83,1034,>20
13.3,16.2,W,87,1014,>20
11.5,19,WSW,85,1020,>20
7.9,20,SSE,93,1037,>20
12.9,19.2,SE,87,1043,>20
12.9,14.3,W,88,1011,>20
11.5,17.8,WSW,84,1018,>20
10.1,18.8,SSE,86,1035,>20
14.7,18.6,SE,96,1030,>20
13.6,15.5,W,100,1011,>20
11.1,19.2,WSW,88,1028,>20
8.2,18.7,SSE,96,1023,>20
12.1,19.2,SE,97,1042,>20
11.2,13.5,W,81,1014,>20
12.9,16.9,WSW,92,1025,>20
8,17.1,SSE,88,1030,>20
14.4,18.8,SE,94,1044,>20
10.1,13.5,W,99,1015,>20
10.4,17.9,WSW,84,1013,>20
7.8,19.9,SSE,101,1040,>20
14.6,20.1,SE,83,1026,>20
11,13.4,W,95,1026,>20
13.1,20.7,WSW,81,1011,>20
9.1,18.1,SSE,82,1033,>20
14.5,20.5,SE,88,1035,>20
12.5,15.8,W,92,1025,>20
13,18.5,WSW,91,1023,>20
10.4,19.3,SSE,83,1022,>20
12,17.3,SE,91,1027,>20
12.6,15.3,W,85,1020,>20
12.7,20.2,WSW,89,1025,>20
11.1,16.8,SSE,93,1031,>20
13,20.4,SE,88,1037,>20
8.7,19.2,W,61,1026,None
8.4,20.5,WNW,63,1026,None
7.5,19.5,SSE,70,1037,None
11.8,18.3,W,87,1029,None
10.8,17.5,W,59,1016,None
6.6,18.9,NW,69,1021,None
12.2,21.4,WNW,33,1013,None
10.6,20.4,NW,52,1011,None
10.3,13.9,W,33,1009,None
9.6,21.4,SSW,76,1018,None
12.7,21.6,W,70,1028,None
11.2,17.6,W,84,1013,None
10,20.4,NNW,78,1022,None
11.1,20.8,W,75,1030,None
13.4,22.8,W,85,1021,None
12.3,22.9,W,85,1023,None
12.7,22.5,NNW,45,1014,None
11.9,18.9,W,62,1028,None
8.2,18.5,W,64,1022,None
5,14.8,W,73,1026,None
7.6,14.7,W,70,1016,None
8,17.9,SSW,62,1034,None
9.7,22.6,NE,92,1035,None
9.7,19.3,WSW,57,1027,None
7.4,20.1,W,70,1032,None
8,20.5,WNW,61,1013,None
9.2,17.4,SSE,58,1035,None
10.3,18.9,W,100,1032,None
10.5,17.9,W,71,1021,None
7.1,16.2,NW,54,1021,None
11.6,18.2,WNW,38,1006,None
13.8,22,NW,47,1010,None
10.5,16.8,W,33,1019,None
10.7,18.5,SSW,62,1038,None
11.9,21.2,W,65,1037,None
11.9,19.4,W,84,1018,None
10.6,21.5,NNW,94,1030,None
11.2,23.2,W,70,1024,None
12.6,22.6,W,71,1029,None
10.2,24,W,75,1016,None
13.9,23.3,NNW,44,1023,None
11.9,20.2,W,52,1014,None
10.6,20.4,W,67,1021,None
7.7,16.5,W,72,1025,None
7.4,15.3,W,55,1026,None
5.7,14.2,SSW,50,1020,None
8,19.3,NE,83,1025,None
11.8,17.5,WSW,58,1032,None
6,16.6,W,69,1024,None
8.6,19.3,WNW,62,1020,None
7.7,20.7,SSE,57,1031,None
9.8,17.5,W,84,1042,None
11.4,16.8,W,65,1029,None
8.8,16.8,NW,69,1029,None
9.8,19.1,WNW,45,1000,None
13.3,20.8,NW,46,1018,None
11.7,14.9,W,44,1020,None
10.9,18.9,SSW,62,1020,None
10.6,21.1,W,71,1032,None
13.5,15.9,W,84,1024,None
10,22.1,NNW,97,1028,None
12,22.6,W,84,1026,None
11.1,23.8,W,73,1024,None
11.8,21.2,W,85,1019,None
13.2,23.9,NNW,35,1023,None
9.1,17.2,W,65,1019,None
10.9,20.9,W,57,1025,None
4.2,16.8,W,76,1027,None
8.6,14,W,52,1013,None
7.5,16.4,SSW,51,1024,None
10,21.2,NE,95,1023,None
12.1,18.5,WSW,42,1032,None
7.6,16.7,W,75,1028,None
7.4,22.1,WNW,65,1019,None
7.2,20,SSE,64,1022,None
12.2,19.8,W,85,1035,None
10.2,17.5,W,59,1011,None
9.9,16.8,NW,66,1024,None
9.2,18.2,WNW,35,1013,None
12.8,19,NW,47,1020,None
12.7,15.2,W,36,1007,None
10.5,20.3,SSW,58,1034,None
10.5,20.3,W,76,1032,None
12.5,16.8,W,77,1016,None
11.1,21.5,NNW,86,1023,None
11.3,20,W,71,1020,None
13.7,24.9,W,81,1018,None
11.9,21.5,W,85,1024,None
14.4,23.2,NNW,49,1014,None
8.5,21.1,W,46,1012,None
9,18.8,W,72,1019,None
6.4,17,W,71,1015,None
9.4,16.4,W,54,1026,None
8.2,17.8,SSW,58,1029,None
9.4,22.2,NE,96,1029,None
10.6,17.3,WSW,47,1018,None
8,17,W,68,1028,None
7.9,21.2,WNW,73,1026,None
7.8,19.7,SSE,62,1035,None
10.3,20,W,82,1037,None
11.1,16.6,W,74,1023,None
6.6,16.9,NW,69,1023,None
9.7,19.5,WNW,53,1007,None
10.5,21.5,NW,59,1013,None
13.9,16.3,W,47,1004,None
9.6,21.2,SSW,72,1024,None
11.7,21.9,W,68,1021,None
12.8,16.2,W,68,1024,None
10.9,22.4,NNW,84,1024,None
10.9,21.7,W,88,1020,None
11.9,24.7,W,75,1027,None
10.6,21.8,W,74,1017,None
14.2,23.9,NNW,51,1014,None
9.8,19.1,W,59,1019,None
7.7,21.2,W,64,1022,None
5,18.3,W,67,1034,None
8.9,16.8,W,65,1021,None
5.3,14.7,SSW,49,1030,None
9.7,21.1,NE,83,1033,None
10.5,18.1,WSW,60,1019,None
7.8,17.3,W,56,1018,None
6.2,21.7,WNW,78,1016,None
8.8,17.9,SSE,66,1030,None
13,20.6,W,89,1032,None
11.7,18.6,W,54,1014,None
9.2,16.9,NW,54,1024,None
12,18.7,WNW,49,1010,None
13.3,20.6,NW,50,1015,None
14,16.5,W,42,1002,None
8.3,22.4,SSW,64,1038,None
10.9,20.8,W,70,1026,None
12.9,16.9,W,74,1014,None
11.8,23.9,NNW,91,1026,None
10,21.6,W,85,1016,None
11.7,24.1,W,80,1023,None
9.8,22.9,W,88,1029,None
14.4,24.2,NNW,44,1020,None
9.2,17.3,W,58,1012,None
9.1,20.1,W,74,1025,None
4.2,16.9,W,78,1019,None
8.8,16.1,W,54,1021,None
7.5,15.2,SSW,67,1035,None
8.7,21.6,NE,93,1020,None
10.2,16.9,WSW,50,1016,None
5.8,18.6,W,60,1020,None
8.1,21.4,WNW,73,1016,None
9.3,21,SSE,62,1031,None
11.1,17.9,W,93,1028,None
10.4,18.4,W,69,1016,None
9.6,18.3,NW,57,1018,None
9.8,19.9,WNW,52,1015,None
12.7,18.6,NW,50,1004,None
10.4,17.2,W,35,1020,None
9.9,20.4,SSW,65,1024,None
11.5,20.1,W,69,1032,None
12.8,17.7,W,80,1007,None
13.1,22.4,NNW,86,1030,None
13.2,23.1,W,78,1028,None
11.8,24.4,W,85,1022,None
12.2,20.4,W,89,1026,None
12.9,20.8,NNW,38,1025,None
9.1,21.1,W,63,1025,None
9.3,19.9,W,64,1020,None
8,16.1,W,75,1026,None
8.8,15.9,W,66,1017,None
5.2,15.8,SSW,67,1030,None
8.2,19.4,NE,97,1033,None
11.6,19.4,WSW,41,1031,None
6.8,17.6,W,67,1025,None
5.4,18.5,WNW,79,1010,None
9.1,20.5,SSE,65,1033,None
11.3,19.6,W,96,1024,None
11.4,19,W,59,1011,None
8.6,18,NW,73,1019,None
11,19.2,WNW,42,1015,None
13.5,19.9,NW,55,1015,None
11.7,14.2,W,33,1002,None
9.1,22.2,SSW,68,1023,None
10.1,21.9,W,64,1017,None
12.6,16.2,W,73,1011,None
12.7,22.5,NNW,86,1026,None
13.4,20.1,W,75,1017,None
13.5,23.5,W,83,1017,None
10.6,22.7,W,75,1030,None
11.8,22.5,NNW,41,1010,None
9.6,20.4,W,52,1021,None
8.5,19,W,71,1027,None
6.6,17.6,W,65,1026,None
5.6,14.2,W,61,1022,None
5.5,14.4,SSW,53,1021,None
11,18.8,NE,100,1017,None
11.8,16.6,WSW,60,1032,None
8.8,17.3,W,57,1033,None
8.7,22.2,WNW,78,1014,None
8.1,17.5,SSE,63,1032,None
9.7,19.8,W,84,1042,None
8,18,W,73,1027,None
6.2,16.2,NW,67,1018,None
12.2,20.2,WNW,53,1015,None
13.3,21.7,NW,49,1018,None
13.3,16.4,W,47,1005,None
11.6,19.2,SSW,57,1031,None
10.7,19,W,75,1029,None
13.2,16.7,W,72,1024,None
12.7,20.5,NNW,81,1029,None
11,21.4,W,75,1025,None
13.8,24.7,W,88,1019,None
11.3,23.7,W,87,1024,None
13.1,24.1,NNW,34,1005,None
9.5,20.1,W,58,1025,None
10.9,19.9,W,61,1018,None
5.3,15.2,W,71,1035,None
6.2,15.7,W,56,1025,None
5,14.8,SSW,54,1026,None
11.5,19.6,NE,83,1030,None
11.5,16.2,WSW,50,1016,None
9.4,16.5,W,62,1029,None
5.4,18.4,WNW,61,1012,None
7.4,19.7,SSE,71,1036,None
11.2,20.2,W,86,1042,None
11,17.8,W,72,1012,None
6.8,16.3,NW,59,1029,None
9.7,19.7,WNW,38,1010,None
12.6,21.4,NW,44,1017,None
10.7,17.2,W,39,1008,None
9,21.4,SSW,61,1029,None
9,20,W,68,1030,None
14.3,17.1,W,68,1005,None
10.4,20.3,NNW,85,1029,None
11.6,20.3,W,82,1026,None
13.6,23.6,W,77,1017,None
10.4,22.7,W,85,1031,None
14.2,24.4,NNW,45,1025,None
9.5,20.5,W,56,1020,None
7.5,22.2,W,67,1030,None
5.7,18,W,63,1023,None
9.3,15.5,W,51,1032,None
7,15.7,SSW,62,1017,None
7.6,19.2,NE,98,1033,None
12.1,16.9,WSW,45,1026,None
7.3,18.6,W,60,1028,None
6.5,21,WNW,77,1013,None
9.2,18.1,SSE,59,1023,None
10.9,18,W,92,1041,None
8.3,18.6,W,69,1030,None
6.1,19,NW,64,1025,None
9,19.6,WNW,43,1010,None
11.9,18.7,NW,52,1010,None
11.6,15.3,W,52,1017,None
10.5,22.1,SSW,73,1033,None
8.8,21.5,W,79,1020,None
12.3,15.8,W,83,1025,None
11.5,22.1,NNW,98,1021,None
13.8,23.3,W,79,1013,None
10.6,24.6,W,88,1030,None
9.2,20.9,W,85,1021,None
12.2,21.4,NNW,42,1008,None
9.4,20.5,W,61,1024,None
9.3,19.4,W,75,1028,None
7.2,17.9,W,58,1029,None
6.3,17.6,W,59,1021,None
5.5,17,SSW,59,1023,None
10.2,20.1,NE,96,1033,None
8.9,17.9,WSW,52,1016,None
7.8,20.3,W,72,1032,None
6.3,21.9,WNW,73,1018,None
10,19.5,SSE,64,1032,None
11.3,20.6,W,99,1027,None
8.1,19.1,W,69,1024,None
9.3,16.5,NW,74,1013,None
8.3,19.7,WNW,44,1004,None
11,19.4,NW,50,1015,None
13.6,16.5,W,35,1020,None
9.5,21.2,SSW,74,1032,None
11,21.8,W,68,1028,None
13.3,15.9,W,80,1023,None
10.2,23.1,NNW,80,1014,None
12.4,21.1,W,80,1027,None
13.4,22,W,83,1031,None
12.2,21.8,W,81,1031,None
10.6,23.1,NNW,34,1005,None
9.3,19.4,W,75,1028,None